美瑛神社,北海道上川郡美瑛町東町４丁目１−１‎
末廣稲荷神社,東京都港区赤坂4-13-17
今戸神社,東京都台東区今戸1丁目5-22
大國魂神社(府中市),東京都府中市宮町3-1
春日神社 (練馬区),東京都練馬区春日町３丁目２
貴船神社 (品川区),東京都品川区西品川3-16－31　
熊野神社 (新宿区),東京都新宿区西新宿2-11-2
久富稲荷神社,東京都世田谷区新町2-17-1
荏原金刀比羅神社,東京都品川区荏原1-16-4
糀屋金刀比羅神社,東京都足立区鹿浜1-5-1
御嶽神社,東京都大田区北嶺町37-20
猿田彦神社（杉並区）,東京都杉並区阿佐谷南1-1-38
新井天神北野神社,東京都中野区新井4-14-3
深川稲荷神社,東京都江東区清澄2-12-12
須賀神社（東京都世田谷区）,東京都世田谷区喜多見4-3
芝東照宮,東京都港区芝公園4-8-10
熊野神社 (新宿区),東京都新宿区西新宿2-11-2
久富稲荷神社,東京都世田谷区新町2-17-1
須我神社（東京都新宿区）,東京都新宿区須賀町5
須賀神社（東京都台東区）,東京都台東区浅草橋2-29-16
菅原神社 (板橋区),東京都板橋区成増5-3-23
諏訪神社 (新宿区),東京都新宿区高田馬場1-12-6
金刀比羅宮 (東京都港区),東京都港区虎ノ門1丁目2番7号
水天宮 (東京都中央区),東京都中央区日本橋蛎殻町二丁目4番1号
王子稲荷神社,東京都北区岸町1-12-26
天神社 (西東京市),東京都西東京市北町6-7-19
熊野神社 (新宿区),東京都新宿区西新宿2-11-2
久富稲荷神社,東京都世田谷区新町2-17-1
上目黒天祖神社,東京都目黒区上目黒2-32-15
妻恋神社,東京都文京区湯島３丁目２−６
赤坂王子稲荷神社,東京都港区赤坂8-11-27
赤坂氷川神社,東京都港区赤坂6-10-12
秋葉神社（北青山）,東京都港区北青山3-5-26
阿伎留神社,東京都あきる野市五日市1081
アクアシティお台場神社,東京都港区台場1-7-1アクアシティお台場屋上
朝日稲荷神社,東京都中央区銀座3-8-12
熊野神社 (新宿区),東京都新宿区西新宿2-11-2
大宮八幡宮,東京都杉並区大宮2-3-1
銭洗弁財天宇賀福神社,神奈川県鎌倉市佐助2-25-16
江島神社,神奈川県藤沢市江の島2-3-8
住吉神社（川崎市）,神奈川県川崎市中原区木月1-20-1
日枝神社 (横浜市南区),神奈川県横浜市南区山王町5-32
松尾神社（横浜市）,神奈川県横浜市戸塚区上矢部町421
水天宮（鎌倉市台）,神奈川県鎌倉市台5-3-7
亀岡八幡宮,神奈川県逗子市逗子5-2-13
上諏訪社（三浦市初声町）,神奈川県三浦市初声町三戸1091
貴船神社 (真鶴町),神奈川県足柄下郡真鶴町真鶴1117
女躰神社（川崎市幸区幸町）,神奈川県川崎市幸区幸町1-994
橘樹神社 (川崎市),神奈川県川崎市高津区子母口122
有鹿神社,神奈川県海老名市上郷1-4-41
師岡熊野神社,神奈川県横浜市港北区師岡町1137
熊野神社 (横浜市瀬谷区),神奈川県横浜市瀬谷区阿久和東4-7-1
御霊神社 (鎌倉市)/権五郎神社,神奈川県鎌倉市坂ノ下4-9
上諏訪社（三浦市初声町）,神奈川県三浦市初声町三戸1091
報徳二宮神社 (小田原市),神奈川県小田原市城内8-10
児玉神社 (藤沢市),神奈川県藤沢市江ノ島1丁目4-3
貴船神社 (真鶴町),神奈川県足柄下郡真鶴町真鶴1117
鎌倉宮,神奈川県鎌倉市二階堂154
水天宮平沼神社,神奈川県横浜市西区平沼2-8-20
高石神社,神奈川県川崎市麻生区高石1丁目31-1
八坂神社（横浜市戸塚）,神奈川県横浜市戸塚区戸塚町4189
若宮八幡宮（川崎市）,神奈川県川崎市川崎区大師駅前2ｰ13ｰ16
三社宮,神奈川県川崎市中原区下沼部1745
赤城神社（川崎市）,神奈川県川崎市高津区上作延210
金刀比羅・大鷲神社,神奈川県横浜市南区真金町1-3
鶴嶺八幡宮,神奈川県茅ヶ崎市浜之郷462
貴船神社 (真鶴町),神奈川県足柄下郡真鶴町真鶴1117
春日神社 (平塚市),神奈川県平塚市平塚4ｰ18ｰ1
御霊神社 (鎌倉市)/権五郎神社,神奈川県鎌倉市坂ノ下4-9
上諏訪社（三浦市初声町）,神奈川県三浦市初声町三戸1091
永谷天満宮,神奈川県横浜市港南区上永谷5-1-5
熊野神社 (鎌倉市),神奈川県鎌倉市浄明寺64
報徳二宮神社 (小田原市),神奈川県小田原市城内8-10
諏訪神社 (茅ヶ崎市),神奈川県茅ヶ崎市香川二丁目24番54号
亀ヶ池八幡宮,神奈川県相模原市上溝1678
児玉神社 (藤沢市),神奈川県藤沢市江ノ島1丁目4-3
飯盛神社,神奈川県三浦市初声町下宮田282
諏訪神社（三浦市向ヶ崎町）,神奈川県三浦市向ヶ崎町3-1
日枝神社（藤沢市辻堂元町）,神奈川県藤沢市辻堂元町3-5-21
赤城神社（川崎市）,神奈川県川崎市高津区上作延210
大綱金刀比羅神社,神奈川県横浜市神奈川区台町7-34
三社宮,神奈川県川崎市中原区下沼部1745
住吉神社（川崎市）,神奈川県川崎市中原区木月1-20-1
松尾神社（横浜市）,神奈川県横浜市戸塚区上矢部町421
明津熊野神社,神奈川県川崎市高津区明津142
天照皇大神,神奈川県川崎市幸区南加瀬1ｰ2ｰ2
甘縄神明宮,神奈川県鎌倉市長谷1-12-1
有鹿神社,神奈川県海老名市上郷1-4-41
伊勢山皇大神宮,神奈川県横浜市西区宮崎町64
市杵島神社,神奈川県藤沢市大庭5429-3
市ノ坪神社,神奈川県川崎市中原区市ﾉ坪54
厳島神社（鎌倉市小袋谷）,神奈川県鎌倉市小袋谷2-13-21
厳島神社（横浜市中区）,神奈川県横浜市中区羽衣町2-7-1
厳島神社（横浜市中区元町）,神奈川県横浜市中区元町5ｰ208
稲毛神社,神奈川県川崎市川崎区宮本町7ｰ7
稲荷神社（鎌倉市台）,神奈川県鎌倉市台1795
今井神社,神奈川県川崎市中原区今井上町197
今田鯖神社,神奈川県藤沢市湘南台7-201
大島八幡神社,神奈川県川崎市川崎区大島3-4-8
宇都母知神社,神奈川県藤沢市打戻3012
宇奈根氷川神社,神奈川県川崎市高津区宇奈根646
荏柄天神社,神奈川県鎌倉市二階堂74
蛭子神社,神奈川県鎌倉市小町2-23-3
円行八幡宮/湘南台八幡宮,神奈川県藤沢市湘南台3-10-5
皇子大神,神奈川県藤沢市葛原1382
王子神社,神奈川県横浜市戸塚区柏尾町939
大久保神社,神奈川県横浜市戸塚区汲沢町309-2
大戸神社,神奈川県川崎市中原区下小田中1-2-8
大戸神社,神奈川県川崎市中原区下小田中1-2-8
大庭神社（藤沢市稲荷）,神奈川県藤沢市稲荷997
大庭神社（藤沢市大庭）,神奈川県藤沢市大庭1846
大山阿夫利神社,神奈川県伊勢原市大山355
片瀬諏訪神社上社,神奈川県藤沢市片瀬2-19
海南神社（三浦市三崎町城ヶ島）,神奈川県三浦市三崎町城ヶ島408
賀来神社,神奈川県藤沢市鵠沼藤ｹ谷3-10-19
鹿島大神,神奈川県川崎市幸区鹿島田684
柏山稲荷神社,神奈川県藤沢市城南3ｰ2-6
片瀬諏訪神社下社,神奈川県藤沢市片瀬2ｰ21ｰ6
片瀬諏訪神社下社,神奈川県藤沢市片瀬2ｰ21ｰ6
金山神社,神奈川県川崎市川崎区大師駅前2-13-16（若宮八幡宮内）
鎌倉山神社,神奈川県鎌倉市鎌倉山2-27-11
上俣野神社,神奈川県横浜市戸塚区俣野町763
上町屋天満宮,神奈川県鎌倉市上町屋山ﾉ根616
亀井神社,神奈川県藤沢市亀井野554
日枝大神社,神奈川県川崎市川崎区小田2-14-7
柄沢神社,神奈川県藤沢市柄沢511
川名御霊神社,神奈川県藤沢市川名656
北野神社,神奈川県鎌倉市山崎736
北野神社,神奈川県鎌倉市山崎736
鵠沼皇大神宮,神奈川県藤沢市鵠沼神明2-11-5
鵠沼伏見稲荷神社,神奈川県藤沢市鵠沼海岸5-11-17
久地神社,神奈川県川崎市高津区久地1-39-1
葛原岡神社,神奈川県鎌倉市梶原5-9-1
京浜伏見稲荷神社,神奈川県川崎市中原区新丸子東2-980
九頭龍神社本宮,神奈川県足柄下郡箱根町元箱根防ヶ沢（箱根樹木園内）
熊野新宮,神奈川県鎌倉市極楽寺2ｰ3ｰ1
熊野神社（藤沢市大庭）,神奈川県藤沢市大庭5429-2
熊野神社（鎌倉市浄明寺）,神奈川県鎌倉市浄明寺3-8-55
宝登山神社,埼玉県秩父郡長瀞町長瀞1828
氷川神社 (川越市),埼玉県川越市宮下町2-11-3
三峯神社,埼玉県秩父市三峰298-1
氷川神社（上尾市今泉）,埼玉県上尾市今泉148
氷川神社（北本市石戸）,埼玉県北本市石戸6-79
天神氷川八幡合社,埼玉県上尾市藤波1-282-1
八雲神社（上尾市地頭方）,埼玉県上尾市地頭方560
天神社,埼玉県茨城県水戸市吉沢町748
白雲神社,埼玉県上尾市大谷本郷
氷川神社（上尾市浅間台）,埼玉県上尾市浅間台2
鬼鎮神社,埼玉県秩父市大滝1406
正一位稲荷大明神（上尾市本町）,埼玉県上尾市本町5
熊野神社（上尾市小泉）,埼玉県上尾市小泉
氷川神社（上尾市菅谷）,埼玉県上尾市菅谷4
日枝神社（上尾市原市）,埼玉県上尾市原市
浅間神社（上尾市戸崎）,埼玉県上尾市戸崎
八枝神社,埼玉県上尾市平方488
白山神社（上尾市原市）,埼玉県上尾市原市3956
白雲神社,埼玉県上尾市大谷本郷
氷川神社（上尾市浅間台）,埼玉県上尾市浅間台2
瓦葺氷川神社,埼玉県上尾市瓦葺1025-1
愛宕神社（上尾市原市）,埼玉県上尾市原市3532
氷川鍬神社,埼玉県上尾市宮本町1-14
愛宕神社（上尾市壱丁目）,埼玉県上尾市壱丁目344
臺稲荷大明神,埼玉県朝霞市根岸台8
熊野神社（尾市日の出）,埼玉県上尾市日の出3
緑ヶ丘稲荷神社,埼玉県朝霞市幸町2-3-30
浜崎氷川神社,埼玉県朝霞市浜崎3
白雲神社,埼玉県上尾市大谷本郷
氷川神社（上尾市浅間台）,埼玉県上尾市浅間台2
熊野神社（児玉郡神川町）,埼玉県児玉郡神川町八日市527
浅間神社（上尾市戸崎）,埼玉県上尾市戸崎
丹生神社（児玉郡神川町）,埼玉県児玉郡神川町上阿久原1-1
熊野神社（桶川市）,埼玉県桶川市舎人新田724
御嶽神社（比企郡小川町）,埼玉県比企郡小川町青山
住吉神社（入間郡越生町）,埼玉県入間郡越生町麦原383
三峯神社（川越市今福）,埼玉県川越市今福2883近辺
熊野神社（比企郡小川町）,埼玉県比企郡小川町笠原333
白雲神社,埼玉県上尾市大谷本郷
氷川神社（上尾市浅間台）,埼玉県上尾市浅間台2
石神神社,埼玉県秩父郡小鹿野町三山2109
神明神社（入間市下谷ヶ貫）,埼玉県入間市下谷ヶ貫9
小谷田中野原稲荷神社,埼玉県入間市上小谷田1-1-5
八坂神社（秩父郡小鹿野町）,埼玉県秩父郡小鹿野町般若132
八雲神社（秩父郡小鹿野町）,埼玉県秩父郡小鹿野町小鹿野973-11
白山神社（秩父郡小鹿野町）,埼玉県秩父郡小鹿野町小鹿野50
宮戸神社,埼玉県朝霞市宮戸4-3-1
稲荷大明神,埼玉県北足立郡伊奈町小針新宿
白雲神社,埼玉県上尾市大谷本郷
氷川神社（上尾市浅間台）,埼玉県上尾市浅間台2
厳島弁財天,埼玉県北本市高尾8-65近辺
愛宕八坂神社（川越市）,埼玉県川越市石原町2-64-6
北本氷川神社,埼玉県北本市高尾7-31
古尾谷八幡神社,埼玉県川越市古谷本郷1408
浅間神社（川越市笠幡）,埼玉県川越市笠幡2001
菅原神社（川越市今福）,埼玉県川越市今福673
八坂神社（川越市石原町）,埼玉県川越市石原町1-19-9近辺
御嶽神社（川口市芝樋ノ爪）,埼玉県川口市芝樋ノ爪2
白雲神社,埼玉県上尾市大谷本郷
氷川神社（上尾市浅間台）,埼玉県上尾市浅間台2
峯ヶ岡八幡神社,埼玉県川口市峯1304
赤井氷川神社,埼玉県川口市赤井488
熊野神社（児玉郡神川町）,埼玉県児玉郡神川町八日市527
浅間神社（上尾市戸崎）,埼玉県上尾市戸崎
元森神社,埼玉県児玉郡神川町二ノ宮655
諏訪神社（児玉郡上里町）,埼玉県児玉郡上里町藤木戸138
久伊豆神社（岩槻区黒谷）,埼玉県さいたま市岩槻区黒谷1851
瀬ヶ崎三嶋神社,埼玉県さいたま市浦和区瀬ヶ崎2-15
白雲神社,埼玉県上尾市大谷本郷
氷川神社（上尾市浅間台）,埼玉県上尾市浅間台2
浮谷神社,埼玉県さいたま市岩槻区浮谷153
富士浅間神社（岩槻区府内）,埼玉県さいたま市岩槻区府内1-6-24
伊奈利神社（熊谷市大野）,埼玉県熊谷市大野751
足立神社,埼玉県さいたま市浦和区上木崎5-11-1
稲荷神社（熊谷市俵瀬）,埼玉県熊谷市俵瀬489
杉森稲荷神社,埼玉県川越市松郷811
白髪神社（熊谷市妻沼）,埼玉県熊谷市妻沼1038
高本高城神社,埼玉県熊谷市高本32近辺
白雲神社,埼玉県上尾市大谷本郷
大我井神社,埼玉県熊谷市妻沼1480
諏訪神社（熊谷市上新田）,埼玉県熊谷市上新田227
白山神社（熊谷市妻沼台）,埼玉県熊谷市妻沼台331
赤城神社（熊谷市大麻生）,埼玉県熊谷市大麻生1098
八幡神社（坂戸市北浅羽）,埼玉県坂戸市北浅羽262
氷川神社（さいたま市西区）,埼玉県さいたま市西区高木944
大宮住吉神社,埼玉県坂戸市塚越254
一山神社,埼玉県さいたま市中央区本町東4-10-14
諏訪神社（さいたま市桜区）,埼玉県さいたま市桜区下大久保1029
白雲神社,埼玉県上尾市大谷本郷
天祖神社（さいたま市中央区）,埼玉県さいたま市中央区本町西1-14-14
道場天満宮,埼玉県さいたま市桜区道場3-15-1近辺
浅間稲荷神社,埼玉県さいたま市大宮区浅間町2
南方神社,埼玉県さいたま市北区吉野町2-25-4
切敷稲荷神社,埼玉県さいたま市大宮区上小町196付近
即道神社,埼玉県秩父市荒川上田野975
長井神社,埼玉県熊谷市西野522
旭神社（氷川神社）,埼玉県草加市金明町1332
氷川神社（秩父市三峰）,埼玉県秩父市三峰20近辺
白雲神社,埼玉県上尾市大谷本郷
神明神社（草加市谷塚上町）,埼玉県草加市谷塚上町231-1
麻賀多神社,千葉県成田市台方1番地
洲崎神社,千葉県館山市洲崎1697
白旗神社,千葉県長生郡長柄町山之郷236
熊野神社（千葉県山武郡）,千葉県山武郡横芝光町宮川2118番地
武射神社,千葉県東金市上下武射田9番地
三社神社（千葉市花見川区）,千葉県千葉市花見川区犢橋町1109番地
寒川神社（千葉市中央区）,千葉県千葉市中央区寒川町一丁目123番地
諏訪大神,千葉県香取郡東庄町笹川い580-1
住吉神社（長生郡長生村）,千葉県長生郡長生村本郷2152番地
神明神社（鴨川市天津）,千葉県鴨川市天津2950番地
八幡神社（茂原市）,千葉県茂原市茂原196番地
白山神社（匝瑳市）,千葉県匝瑳市木積1213番地
八幡神社（安房郡鋸南町）,千葉県安房郡鋸南町中佐久間626番地
一松神社,千葉県長生郡長生村一松丙916番地
八幡神社（市原市）,千葉県市原市菊間3166番地
八王子神社,千葉県船橋市古和釜町161番地
八幡神社（松戸市）,千葉県松戸市高塚新田505番地
八幡神社（君津市）,千葉県君津市六手59
住吉神社（長生郡長生村）,千葉県長生郡長生村本郷2152番地
神明神社（鴨川市天津）,千葉県鴨川市天津2950番地
愛宕神社,千葉県南房総市富浦町原岡９６３
-,千葉県千葉市中央区弁天３丁目１６−１
住吉神社（長生郡長生村）,千葉県長生郡長生村本郷2152番地
大宮大神,千葉県香取市油田６９５
八雲神社（君津市三直）,千葉県君津市三直1174番地
八劔八幡神社,千葉県木更津市富士見一丁目6番15号
六所神社,千葉県いす市岬町江場土291番地
面足神社,千葉県山武郡芝山町小池２３４７
熊野神社 (横芝光町),千葉県山武郡横芝光町宮川2118
